N,Processes,Average Matrix Initialization Time (s),Average Max MPI Init Time (s),Average Max Scatter Time (s),Average Max Reduce Time (s),Average Max Computation Time (s),Average Total Time (s)
8192x8192,1,0.604925,0,0,0,0.1868,0.7917
8192x8192,2,0.6119,0.005575,1.35025,0,0.091625,2.059475
8192x8192,4,0.63485,0.009225,1.21715,0,0.04565,1.9069
8192x8192,16,0.643325,0.0194,1.183925,0.00145,0.011875,1.85995
8192x8192,32,0.655125,0.027175,1.18665,0.0016,0.00615,1.8767
8192x8192,64,0.646975,0.091825,1.185475,0.0124,0.0059,1.9425
16384x16384,1,2.421925,0,0,0,0.746925,3.16885
16384x16384,2,2.416425,0.00515,5.3883,0,0.348775,8.158675
16384x16384,4,2.526775,0.0132,4.914925,0.0001,0.1824,7.637375
16384x16384,16,2.54555,0.01855,5.935675,0.013975,0.06605,8.5798
16384x16384,32,2.5527,0.02235,4.9432,0.00165,0.0239,7.5438
16384x16384,64,2.53325,0.037775,6.170775,0.032725,0.022375,8.796875
32768x32768,1,9.49845,0,0,0,2.972,12.4705
32768x32768,2,9.6241,0.003725,22.80145,0.0001,1.38405,33.81335
32768x32768,4,10.100025,0.0149,20.9741,0.000125,0.7288,31.817925
32768x32768,16,10.10975,0.02005,20.870825,0.001775,0.18435,31.1867
32768x32768,32,10.115625,0.02115,20.54875,0.00195,0.09495,30.782475
32768x32768,64,10.112925,0.08205,20.53705,0.0094,0.0713,30.8127